Order,PC1,PC2,Position,Zone,Name,Photo,Nationality,Club,Club Logo,Preferred Foot,Overall,Potential,ShortPassing,Volleys,Dribbling,FKAccuracy,LongPassing,SprintSpeed,Agility,ShotPower,Jumping,Stamina,Strength
0,-9.391933134,-7.024874118,RF,Attack,L. Messi,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,94,94,90,86,97,94,87,86,91,85,68,72,59
1,-8.935502823,-4.993332302,ST,Attack,Cristiano Ronaldo,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,94,94,81,87,88,76,77,91,87,95,95,88,79
2,-8.717718753,-6.896612111,LW,Midfield,Neymar Jr,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,92,93,84,84,96,87,78,90,96,80,61,81,49
3,17.67301208,-2.497028237,GK,GoalKeper,De Gea,https://cdn.sofifa.org/players/4/19/193080.png,Spain,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,91,93,50,13,18,19,51,58,60,31,67,43,64
4,-10.0274955,-2.585399379,RCM,Midfield,K. De Bruyne,https://cdn.sofifa.org/players/4/19/192985.png,Belgium,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,91,92,92,82,86,83,91,76,79,91,63,90,75
5,-8.658268568,-5.968099277,LF,Attack,E. Hazard,https://cdn.sofifa.org/players/4/19/183277.png,Belgium,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,91,91,89,80,95,79,83,88,95,82,56,83,66
6,-10.08328652,-1.885598735,RCM,Midfield,L. Modri?,https://cdn.sofifa.org/players/4/19/177003.png,Croatia,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,91,91,93,76,90,78,88,72,93,79,68,89,58
7,-7.932120082,-3.156977739,RS,Attack,L. Suárez,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,91,91,82,88,87,84,64,75,82,86,69,90,83
8,-7.397440708,3.511173487,RCB,Defense,Sergio Ramos,https://cdn.sofifa.org/players/4/19/155862.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,91,91,78,66,63,72,77,75,78,79,93,84,83
9,18.91820012,-1.809078236,GK,GoalKeper,J. Oblak,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,90,93,29,13,12,14,26,60,67,22,76,41,78
10,-7.596399621,-3.828944763,ST,Attack,R. Lewandowski,https://cdn.sofifa.org/players/4/19/188545.png,Poland,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,90,90,83,89,85,86,65,78,78,88,84,78,84
11,-8.937948966,-0.638402219,LCM,Midfield,T. Kroos,https://cdn.sofifa.org/players/4/19/182521.png,Germany,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,90,90,92,82,81,84,93,62,70,87,30,75,73
12,-4.004385549,5.635373853,CB,Defense,D. Godín,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,90,90,79,47,53,51,70,68,58,67,91,66,88
13,-8.310098694,-3.88221194,LCM,Midfield,David Silva,https://cdn.sofifa.org/players/4/19/168542.png,Spain,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,90,90,93,82,89,77,87,64,92,72,64,78,52
14,-8.210293692,2.281245262,LDM,Midfield,N. Kanté,https://cdn.sofifa.org/players/4/19/215914.png,France,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,89,90,86,56,79,49,81,78,82,71,77,96,76
15,-7.783714819,-6.157666868,LF,Attack,P. Dybala,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,89,94,87,88,92,88,75,83,91,82,75,80,65
16,-7.544953204,-2.385789544,ST,Attack,H. Kane,https://cdn.sofifa.org/players/4/19/202126.png,England,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,89,91,80,84,80,68,82,72,71,88,78,89,84
17,-8.900247267,-3.719917308,CAM,Midfield,A. Griezmann,https://cdn.sofifa.org/players/4/19/194765.png,France,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,89,90,83,87,88,78,76,85,90,80,90,83,62
18,18.84215581,-1.602656256,GK,GoalKeper,M. ter Stegen,https://cdn.sofifa.org/players/4/19/192448.png,Germany,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,89,92,36,14,17,12,42,50,37,22,79,35,79
19,18.9743119,-1.630244545,GK,GoalKeper,T. Courtois,https://cdn.sofifa.org/players/4/19/192119.png,Belgium,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Left,89,90,33,12,13,20,35,52,61,36,68,38,70
20,-7.181874421,3.191609891,CDM,Midfield,Sergio Busquets,https://cdn.sofifa.org/players/4/19/189511.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,89,89,89,44,80,68,82,52,66,61,66,86,77
21,-7.336192848,-2.190278707,LS,Attack,E. Cavani,https://cdn.sofifa.org/players/4/19/179813.png,Uruguay,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,89,89,78,90,80,76,52,76,77,87,88,92,78
22,17.68754526,-2.022708783,GK,GoalKeper,M. Neuer,https://cdn.sofifa.org/players/4/19/167495.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,89,89,55,11,30,11,59,60,51,25,77,43,80
23,-7.315286385,-6.18330463,ST,Attack,S. Agüero,https://cdn.sofifa.org/players/4/19/153079.png,Argentina,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,89,89,81,85,89,73,64,80,86,88,81,76,73
24,-2.564147888,6.198268104,LCB,Defense,G. Chiellini,https://cdn.sofifa.org/players/4/19/138956.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,89,89,59,45,58,31,59,75,54,78,89,65,89
25,-8.209924333,-4.897878369,RM,Midfield,K. Mbappé,https://cdn.sofifa.org/players/4/19/231747.png,France,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,88,95,82,78,90,63,73,96,92,79,75,83,71
26,-8.116073754,-4.043419698,RM,Midfield,M. Salah,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Left,88,89,82,73,89,60,72,91,91,77,68,84,70
27,-6.783325682,3.758566019,CDM,Midfield,Casemiro,https://cdn.sofifa.org/players/4/19/200145.png,Brazil,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,88,90,85,53,69,74,82,65,62,86,88,87,89
28,-8.04203861,-3.558738222,LAM,Midfield,J. Rodríguez,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Left,88,89,89,90,85,86,83,67,83,86,54,70,68
29,-7.256283416,-6.734081414,LW,Midfield,L. Insigne,https://cdn.sofifa.org/players/4/19/198219.png,Italy,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,88,88,85,74,90,77,78,86,94,75,53,75,44
30,-8.143898377,-2.614080586,LW,Midfield,Isco,https://cdn.sofifa.org/players/4/19/197781.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,88,91,89,65,94,76,83,69,87,69,64,70,59
31,-8.475951375,-3.843050422,CAM,Midfield,C. Eriksen,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,88,91,91,77,84,87,88,73,79,84,50,92,58
32,-8.908793909,-4.379928889,LW,Midfield,Coutinho,https://cdn.sofifa.org/players/4/19/189242.png,Brazil,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,88,89,88,75,91,86,83,75,92,83,59,79,61
33,-6.655244305,-4.310810576,LM,Midfield,P. Aubameyang,https://cdn.sofifa.org/players/4/19/188567.png,Gabon,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,88,88,77,86,79,74,64,95,76,82,79,76,76
34,-6.058491138,4.123072015,LCB,Defense,M. Hummels,https://cdn.sofifa.org/players/4/19/178603.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,88,88,81,60,68,53,85,64,63,71,68,66,84
35,-10.18535229,0.494730003,LB,Defense,Marcelo,https://cdn.sofifa.org/players/4/19/176676.png,Brazil,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Left,88,88,84,54,90,67,76,82,86,83,76,91,78
36,-9.110297453,-2.289202115,ST,Attack,G. Bale,https://cdn.sofifa.org/players/4/19/173731.png,Wales,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Left,88,88,85,85,87,87,80,95,82,92,87,75,80
37,18.34253424,-1.981370973,GK,GoalKeper,H. Lloris,https://cdn.sofifa.org/players/4/19/167948.png,France,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Left,88,88,50,11,10,10,50,62,55,23,74,41,43
38,-5.355149171,-4.303963716,LS,Attack,G. Higuaín,https://cdn.sofifa.org/players/4/19/167664.png,Argentina,Milan,https://cdn.sofifa.org/teams/2/light/47.png,Right,88,88,75,90,84,62,59,73,75,86,79,70,85
